NAME_3,TOTAL_MOSQ,TOTAL_MOSQ_DEATH,TOTAL_MOSQ_SURV,MORTALITY_ADJ_AVR
Abengourou,3271,1243,2028,0.38
Abidjan,5804,3366,2438,0.58
Aboisso,575,12,563,0.02
Adiake,791,791,0,1
Adzope,955,344,611,0.36
Agboville,4063,1828,2235,0.45
Agnibilékrou,611,269,342,0.44
Akoupe,364,298,66,0.82
Alépé,750,652,98,0.87
Arrah,155,127,28,0.82
Attiégoukaro,972,457,515,0.47
Ayame,212,201,11,0.95
Bangolo,631,265,366,0.42
Béoumi,1888,793,1095,0.42
Bettié,701,133,568,0.19
Biankouma,603,187,416,0.31
Blolequin,123,10,113,0.08
Bocanda,800,648,152,0.81
Bondoukou,723,231,492,0.32
Bongouanou,254,30,224,0.12
Bonoua,612,600,12,0.98
Botro,3926,2473,1453,0.63
Bouaflé,2605,990,1615,0.38
Bouaké,3653,1059,2594,0.29
Bouna,791,174,617,0.22
Boundiali,314,192,122,0.61
Buyo,879,422,457,0.48
Dabakala,1077,302,775,0.28
Dabou,362,83,279,0.23
Daloa,2517,856,1661,0.34
Danané,188,184,4,0.98
Daoukro,656,230,426,0.35
Diabo,1005,231,774,0.23
Dianra,122,74,48,0.61
Didievi,554,499,55,0.9
Dikodougou,755,491,264,0.65
Dimbokro,241,5,236,0.02
Divo,784,478,306,0.61
Djekanou,233,140,93,0.6
Doropo,640,518,122,0.81
Duékoué,288,135,153,0.47
Facobly,536,225,311,0.42
Ferkessedougou,298,30,268,0.1
Fresco,539,383,156,0.71
Gagnoa,1499,480,1019,0.32
Gbeleban,349,202,147,0.58
Grand-Bassam,1121,336,785,0.3
Grand-Lahou,528,438,90,0.83
Guéyo,636,394,242,0.62
Guiglo,796,263,533,0.33
Guitry,870,600,270,0.69
Issia,362,210,152,0.58
Jacqueville,305,3,302,0.01
Kani,297,172,125,0.58
Kaniasso,216,130,86,0.6
Katiola,801,232,569,0.29
Kong,210,164,46,0.78
Korhogo,2028,791,1237,0.39
Koro,276,33,243,0.12
Kouassi-Kouassikro,254,185,69,0.73
Kouibly,594,244,350,0.41
Koun-Fao,804,233,571,0.29
Kounahiri,482,284,198,0.59
Kouto,618,383,235,0.62
Lakota,467,299,168,0.64
M'Bahiakro,895,618,277,0.69
M’Batto,434,347,87,0.8
M'bengue,190,120,70,0.63
Madinani,172,103,69,0.6
Mafere,642,424,218,0.66
Man,2573,1621,952,0.63
Mankono,474,123,351,0.26
Méagui,116,68,48,0.59
Minignan,509,300,209,0.59
Nassian,923,194,729,0.21
Niakarmadougou,614,436,178,0.71
Odienné,3910,1681,2229,0.43
Ouangolodougou,511,235,276,0.46
Ouaninou,189,79,110,0.42
Oumé,317,155,162,0.49
Oupoyo,826,463,363,0.56
Prikro,190,139,51,0.73
Sakassou,1178,106,1072,0.09
Samatiguila,815,481,334,0.59
San-Pedro,2973,1219,1754,0.41
Sandégué,683,499,184,0.73
Sassandra,268,43,225,0.16
Séguéla,3068,1718,1350,0.56
Seguelon,219,129,90,0.59
Sikensi,393,200,193,0.51
Sinematiali,673,478,195,0.71
Sinfra,609,183,426,0.3
Sipilou,651,215,436,0.33
Soubré,643,225,418,0.35
Taabo,631,398,233,0.63
Tabou,166,88,78,0.53
Taï,303,209,94,0.69
Tanda,960,509,451,0.53
Tehini,110,89,21,0.81
Tengréla,1159,371,788,0.32
Tiapoum,412,383,29,0.93
Tiassalé,6930,2148,4782,0.31
Tiebissou,341,232,109,0.68
Touba,793,238,555,0.3
Toulepleu,144,78,66,0.54
Toumodi,311,211,100,0.68
Transua,332,232,100,0.7
Vavoua,517,207,310,0.4
Yakasse-Attobrou,840,706,134,0.84
Yamoussoukro,4718,2123,2595,0.45
Zouan-Hounien,139,57,82,0.41
Zoukougbeu,854,418,436,0.49
Zuénoula,229,133,96,0.58